# tables id timestamp frame x y z qx qy qz qw sizex sizey sizez
table1 0 0 /map 4.81 5.28 0.90 0.00 0.00 0.00 1.00 1.40 0.650 0.02
table2 0 0 /map 0.55 6.41 0.73 0.00 0.00 0.00 1.00 1.0 1.50 0.02
# table_sink 0 0 /map 5.80 6.40 0.90 0.00 0.00 0.00 1.00 0.650 1.50 0.02
