table2_loc1 1413811900 129160044 /map 1.550000 5.746100 0.000000 0.000000 0.000000  1.000000 -0.00400
table2_loc2 1413811900 129160044 /map 1.556000 6.842000 0.000000 0.000000 0.000000  1.000000 -0.01300
table2_loc3 1413811900 129160044 /map 0.575000 7.574000 0.000000 0.000000 0.000000 -0.704000  0.710
table2_loc4 1413811900 129160044 /map 1.379000 6.382000 0.000000 0.000000 0.000000  1.000000 -0.007

